chr10	38379045	38391967	peakStart	MS026601	bcell
chr10	38379045	38391967	noPeaks	MS002201	Input
chr10	38379045	38391967	noPeaks	MS026601	Input
chr10	38379045	38391967	peakStart	MS002201	kidney
chr10	38404899	38412089	peakEnd	MS026601	bcell
chr10	38404899	38412089	noPeaks	MS002201	Input
chr10	38404899	38412089	noPeaks	MS026601	Input
chr10	38404899	38412089	peakEnd	MS002201	kidney
chr10	38413073	38444133	noPeaks	MS026601	bcell
chr10	38413073	38444133	noPeaks	MS002201	Input
chr10	38413073	38444133	noPeaks	MS026601	Input
chr10	38413073	38444133	noPeaks	MS002201	kidney
