chr10	35182820	35261001	noPeaks	MS026601	bcell
chr10	35182820	35261001	noPeaks	MS002201	Input
chr10	35182820	35261001	noPeaks	MS026601	Input
chr10	35182820	35261001	noPeaks	MS002201	kidney
chr10	35261418	35314654	peakStart	MS026601	bcell
chr10	35261418	35314654	noPeaks	MS002201	Input
chr10	35261418	35314654	noPeaks	MS026601	Input
chr10	35261418	35314654	peakStart	MS002201	kidney
chr10	35343031	35398459	peakEnd	MS026601	bcell
chr10	35343031	35398459	noPeaks	MS002201	Input
chr10	35343031	35398459	noPeaks	MS026601	Input
chr10	35343031	35398459	peakEnd	MS002201	kidney
